group,n_features,elastic_net_selected,stability_prob,stable,in_final
A1Cresult_missing,1,True,0.0,False,True
admission_source_id,7,True,0.0,False,True
admission_type_id,5,True,0.0,False,True
age,1,True,0.94,True,True
change,1,False,0.0,False,False
diabetesMed,1,True,0.0,False,True
diag_1,15,True,0.0,False,True
diag_2,15,True,0.0,False,True
diag_3,17,True,0.0,False,True
discharge_disposition_id,9,True,0.36,False,True
gender,1,True,0.0,False,True
glimepiride,2,True,0.0,False,True
glipizide,2,True,0.0,False,True
glyburide,2,True,0.0,False,True
insulin,4,True,0.0,False,True
max_glu_serum_missing,1,True,0.0,False,True
medical_specialty,12,True,0.0,False,True
metformin,3,True,0.0,False,True
num_lab_procedures,1,True,0.0,False,True
num_medications,1,True,0.22,False,True
num_procedures,1,True,0.0,False,True
number_diagnoses,1,True,1.0,True,True
number_emergency,1,True,0.0,False,True
number_inpatient,1,True,1.0,True,True
number_outpatient,1,True,0.0,False,True
payer_code,9,True,0.0,False,True
pioglitazone,2,True,0.0,False,True
race,5,False,0.0,False,False
repaglinide,2,True,0.0,False,True
rosiglitazone,2,True,0.0,False,True
time_in_hospital,1,True,0.6,False,True
weight_missing,1,True,0.0,False,True
